Trip ID,User ID,Destination,Start date,End date,Duration (days),Traveler name,Traveler age,Traveler gender,Traveler nationality,Accommodation type,Accommodation cost,Average Daily Cost,Total cost,Local Transport Mode
T00001,U0001,"Yellowstone NP, USA",2017-04-21,2017-05-03,13,Rajesh,37,Male,Indian,Guesthouse,734.47,1053.95,1788.42,4x4
T00002,U0002,"New York, USA",2024-12-24,2024-12-27,4,Fatima,35,Female,Egyptian,Guesthouse,335.19,790.58,1125.77,Transports Publics
T00003,U0002,"Los Angeles, USA",2016-06-21,2016-06-25,5,Fatima,35,Female,Egyptian,Airbnb,663.11,824.73,1487.84,Scooter
T00004,U0002,"Budapest, Hungary",2022-03-16,2022-03-19,4,Fatima,35,Female,Egyptian,Airbnb,211.02,179.0,390.02,Bus
T00005,U0002,"Edinburgh, UK",2021-02-16,2021-02-18,3,Fatima,35,Female,Egyptian,Airbnb,291.65,247.53,539.18,Transports Publics
T00006,U0002,"Toronto, Canada",2017-04-04,2017-04-06,3,Fatima,35,Female,Egyptian,Airbnb,253.41,251.07,504.48,Taxi
T00007,U0002,"Seoul, South Korea",2019-09-19,2019-09-22,4,Fatima,35,Female,Egyptian,Airbnb,577.07,724.37,1301.44,Taxi
T00008,U0003,"Hokkaido, Japan",2019-01-21,2019-01-31,11,Seo-Jun,42,Male,South Korean,Hotel,1291.71,1062.48,2354.19,Tuk-Tuk
T00009,U0003,"Hokkaido, Japan",2022-04-06,2022-04-18,13,Seo-Jun,42,Male,South Korean,Airbnb,1251.4,1271.43,2522.83,Voiture (si isolé)
T00010,U0003,"Kruger NP, South Africa",2018-07-07,2018-07-21,15,Seo-Jun,42,Male,South Korean,Hotel,3425.9,2629.4,6055.3,Voiture
T00011,U0003,"Geneva, Switzerland",2017-11-03,2017-11-05,3,Seo-Jun,42,Male,South Korean,Hotel,510.41,542.53,1052.94,Voiture
T00012,U0003,"Reykjavik, Iceland",2024-03-03,2024-03-11,9,Seo-Jun,42,Male,South Korean,Camping,281.57,1553.94,1835.51,Vélo
T00013,U0003,"Edinburgh, UK",2015-01-08,2015-01-12,5,Seo-Jun,42,Male,South Korean,Airbnb,406.46,460.59,867.05,Taxi
T00014,U0003,"Helsinki, Finland",2018-07-03,2018-07-05,3,Seo-Jun,42,Male,South Korean,Guesthouse,260.06,566.32,826.38,Taxi
T00015,U0003,"Geneva, Switzerland",2017-05-11,2017-05-17,7,Seo-Jun,42,Male,South Korean,Hotel,1324.64,1291.24,2615.88,Bus
T00016,U0003,"Zermatt, Switzerland",2017-06-10,2017-06-19,10,Seo-Jun,42,Male,South Korean,Guesthouse,905.94,1629.12,2535.06,Transports Publics
T00017,U0003,"St Petersburg, Russia",2018-05-21,2018-05-24,4,Seo-Jun,42,Male,South Korean,Guesthouse,197.56,375.0,572.56,Voiture
T00018,U0004,"Copenhagen, Denmark",2016-10-12,2016-10-16,5,Alice,20,Female,Brazilian,Hostel,276.69,932.23,1208.92,Scooter
T00019,U0004,"Patagonia, Argentina",2023-07-09,2023-07-22,14,Alice,20,Female,Brazilian,Hostel,522.0,1347.22,1869.22,Métro
T00020,U0004,"Kruger NP, South Africa",2021-04-01,2021-04-11,11,Alice,20,Female,Brazilian,Airbnb,1334.23,2033.55,3367.78,Bateau
T00021,U0004,"Patagonia, Argentina",2018-02-18,2018-02-24,7,Alice,20,Female,Brazilian,Hostel,243.85,676.11,919.96,Tuk-Tuk
T00022,U0005,"Shanghai, China",2020-03-13,2020-03-17,5,Riccardo,61,Male,Italian,Hotel,656.42,421.56,1077.98,Vélo
T00023,U0005,"Patagonia, Argentina",2023-04-16,2023-04-27,12,Riccardo,61,Male,Italian,Hotel,1460.99,1164.32,2625.31,Bus
T00024,U0005,"Cairns, Australia",2020-06-09,2020-06-18,10,Riccardo,61,Male,Italian,Villa,2038.91,812.11,2851.02,Vélo
T00025,U0005,"Dubai, UAE",2017-03-22,2017-03-25,4,Riccardo,61,Male,Italian,Hotel,849.08,705.82,1554.9,Voiture (si isolé)
T00026,U0005,"Kyoto, Japan",2022-04-19,2022-04-28,10,Riccardo,61,Male,Italian,Guesthouse,570.57,959.06,1529.63,Vélo
T00027,U0005,"Cartagena, Colombia",2023-10-27,2023-11-04,9,Riccardo,61,Male,Italian,Villa,1861.8,766.1,2627.9,Vélo
