User ID,Traveler name,Traveler age,Traveler gender,Traveler nationality,Profile Type,Climate Pref,Primary Dest Type,Acc Pref,Transport Core Modes,Traveler Continent
U0001,Rajesh,37,Male,Indian,Froid/Ski/Nordique,Cold,Adventure/Nature,Guesthouse,Voiture (si isolé);Randonnée;Scooter,Asia
U0002,Fatima,35,Female,Egyptian,Urbain/Luxe/Shopping,Temperate,City,Airbnb,Bus;Tuk-Tuk;Transports Publics,Africa
U0003,Seo-Jun,42,Male,South Korean,Froid/Ski/Nordique,Cold,Adventure/Nature,Villa,Voiture;Tuk-Tuk;Bus,Asia
U0004,Alice,20,Female,Brazilian,Froid/Ski/Nordique,Cold,Adventure/Nature,Hostel,Métro;Tuk-Tuk;Voiture,South America
U0005,Riccardo,61,Male,Italian,Exotique/Budget,Hot,Cultural/Nature,Villa,Vélo;Marche;Randonnée,Europe
U0006,Mostafa,33,Male,Egyptian,Aventure/Nature,Temperate,Adventure/Nature,Hotel,4x4;Vélo;Tuk-Tuk,Africa
U0007,Saud,43,Male,Saudi,Exotique/Budget,Hot,Cultural/Nature,Hostel,Taxi;Vélo;Voiture,Asia
U0008,Neha,23,Female,Indian,Froid/Ski/Nordique,Cold,Adventure/Nature,Hotel,Tuk-Tuk;Voiture (si isolé);Marche,Asia
U0009,Sofia,40,Female,Brazilian,Culturel/Histoire,Temperate,City,Villa,Tuk-Tuk;Taxi;Bateau,South America
U0010,Ingrid,22,Female,German,Urbain/Luxe/Shopping,Temperate,City,Villa,Métro;Scooter;Bateau,Europe
U0011,Emma,63,Female,Canadian,Urbain/Luxe/Shopping,Temperate,City,Hotel,Scooter;Randonnée;Taxi,North America
U0012,Kunle,36,Male,Nigerian,Aventure/Nature,Temperate,Adventure/Nature,Guesthouse,Scooter;Bus;Vélo,Africa
U0013,Priya,67,Female,Indian,Aventure/Nature,Temperate,Adventure/Nature,Hotel,Tuk-Tuk;Métro;Bateau,Asia
U0014,Maha,28,Female,Saudi,Froid/Ski/Nordique,Cold,Adventure/Nature,Hotel,Bus;Transports Publics;Randonnée,Asia
U0015,Seo-Yeon,48,Female,South Korean,Froid/Ski/Nordique,Cold,Adventure/Nature,Hostel,Tuk-Tuk;Scooter;Marche,Asia
U0016,Olu,18,Male,Nigerian,Froid/Ski/Nordique,Cold,Adventure/Nature,Hotel,Taxi;Voiture (si isolé);Métro,Africa
U0017,Beatrice,61,Female,Italian,Urbain/Luxe/Shopping,Temperate,City,Villa,Tuk-Tuk;Métro;Bateau,Europe
U0018,Sultan,69,Male,Saudi,Culturel/Histoire,Temperate,City,Airbnb,Marche;Transports Publics;Métro,Asia
U0019,Klaus,21,Male,German,Urbain/Luxe/Shopping,Temperate,City,Villa,Voiture;Bus;Marche,Europe
U0020,Leon,62,Male,German,Exotique/Budget,Hot,Cultural/Nature,Guesthouse,Vélo;Transports Publics;Tuk-Tuk,Europe
U0021,Nkosi,29,Male,South African,Urbain/Luxe/Shopping,Temperate,City,Airbnb,Transports Publics;Taxi;Randonnée,Africa
U0022,Isabella,58,Female,Colombian,Culturel/Histoire,Temperate,City,Hotel,Randonnée;Bateau;4x4,South America
U0023,Sara,51,Female,Egyptian,Urbain/Luxe/Shopping,Temperate,City,Villa,Transports Publics;Scooter;Marche,Africa
U0024,Seo-Jun,68,Male,South Korean,Aventure/Nature,Temperate,Adventure/Nature,Guesthouse,Scooter;Taxi;Bateau,Asia
U0025,Gabriel,18,Male,Colombian,Culturel/Histoire,Temperate,City,Hostel,Transports Publics;Bateau;Taxi,South America
U0026,Zainab,40,Female,Nigerian,Froid/Ski/Nordique,Cold,Adventure/Nature,Hotel,Bateau;Randonnée;Vélo,Africa
U0027,Funke,39,Female,Nigerian,Culturel/Histoire,Temperate,City,Airbnb,Bus;Bateau;Métro,Africa
U0028,Zainab,22,Female,Nigerian,Urbain/Luxe/Shopping,Temperate,City,Airbnb,Marche;Scooter;Vélo,Africa
U0029,Mikhail,19,Male,Russian,Exotique/Budget,Hot,Cultural/Nature,Hostel,Vélo;Bus;Voiture,Europe
U0030,James,48,Male,American,Froid/Ski/Nordique,Cold,Adventure/Nature,Hostel,Bateau;Scooter;4x4,North America
U0031,Hugo,43,Male,Spanish,Urbain/Luxe/Shopping,Temperate,City,Hostel,Taxi;Transports Publics;Voiture,Europe
U0032,Alexandre,53,Male,French,Exotique/Budget,Hot,Cultural/Nature,Airbnb,Voiture;Métro;Scooter,Europe
U0033,Trang,33,Female,Vietnamese,Aventure/Nature,Temperate,Adventure/Nature,Airbnb,4x4;Scooter;Bateau,Asia
U0034,Arjun,47,Male,Indian,Aventure/Nature,Temperate,Adventure/Nature,Airbnb,Vélo;Voiture;Bus,Asia
U0035,Nicolás,42,Male,Colombian,Froid/Ski/Nordique,Cold,Adventure/Nature,Hostel,Bateau;Randonnée;Taxi,South America
U0036,Amr,41,Male,Egyptian,Culturel/Histoire,Temperate,City,Villa,Bateau;Transports Publics;Marche,Africa
U0037,Đức,61,Male,Vietnamese,Froid/Ski/Nordique,Cold,Adventure/Nature,Hotel,Taxi;Métro;Marche,Asia
U0038,Alexander,33,Male,Russian,Exotique/Budget,Hot,Cultural/Nature,Hotel,Vélo;Métro;Transports Publics,Europe
U0039,Heidi,30,Female,German,Urbain/Luxe/Shopping,Temperate,City,Hotel,Transports Publics;Randonnée;Taxi,Europe
U0040,Đức,65,Male,Vietnamese,Exotique/Budget,Hot,Cultural/Nature,Hostel,Scooter;Voiture (si isolé);Bateau,Asia
U0041,Benjamin,63,Male,Canadian,Culturel/Histoire,Temperate,City,Villa,Scooter;Bus;Transports Publics,North America
U0042,Javier,33,Male,Mexican,Froid/Ski/Nordique,Cold,Adventure/Nature,Airbnb,Bateau;Marche;Métro,North America
U0043,Elena,43,Female,Russian,Exotique/Budget,Hot,Cultural/Nature,Hostel,Tuk-Tuk;Vélo;Voiture (si isolé),Europe
U0044,Yui,51,Female,Japanese,Froid/Ski/Nordique,Cold,Adventure/Nature,Hotel,Voiture;Marche;Scooter,Asia
U0045,Chiamaka,32,Female,Nigerian,Froid/Ski/Nordique,Cold,Adventure/Nature,Airbnb,Voiture (si isolé);Voiture;Métro,Africa
U0046,Mariam,54,Female,Egyptian,Plage/Détente,Hot,Beach,Hotel,Métro;Marche;Vélo,Africa
U0047,Hugo,20,Male,French,Froid/Ski/Nordique,Cold,Adventure/Nature,Airbnb,Taxi;Randonnée;4x4,Europe
U0048,Olivia,49,Female,American,Aventure/Nature,Temperate,Adventure/Nature,Guesthouse,Voiture;Randonnée;4x4,North America
U0049,Valeria,60,Female,Mexican,Froid/Ski/Nordique,Cold,Adventure/Nature,Hotel,4x4;Scooter;Métro,North America
U0050,Erik,59,Male,Swedish,Urbain/Luxe/Shopping,Temperate,City,Hostel,Scooter;Transports Publics;4x4,Europe
U0051,Axel,22,Male,Swedish,Culturel/Histoire,Temperate,City,Guesthouse,Métro;Tuk-Tuk;Transports Publics,Europe
U0052,Koharu,40,Female,Japanese,Exotique/Budget,Hot,Cultural/Nature,Hotel,4x4;Tuk-Tuk;Scooter,Asia
U0053,Ximena,58,Female,Mexican,Urbain/Luxe/Shopping,Temperate,City,Villa,Voiture (si isolé);Transports Publics;Bus,North America
U0054,Evelyn,28,Female,American,Aventure/Nature,Temperate,Adventure/Nature,Villa,Voiture (si isolé);Bus;Métro,North America
U0055,Sato,23,Male,Japanese,Urbain/Luxe/Shopping,Temperate,City,Guesthouse,Randonnée;Voiture;Tuk-Tuk,Asia
U0056,Linnéa,49,Female,Swedish,Plage/Détente,Hot,Beach,Villa,Bateau;4x4;Transports Publics,Europe
U0057,Francesco,37,Male,Italian,Aventure/Nature,Temperate,Adventure/Nature,Hotel,Vélo;Bus;Randonnée,Europe
U0058,Thomas,65,Male,French,Plage/Détente,Hot,Beach,Villa,Randonnée;Tuk-Tuk;Bus,Europe
U0059,Inès,52,Female,French,Exotique/Budget,Hot,Cultural/Nature,Hotel,Tuk-Tuk;Vélo;Bateau,Europe
U0060,Marc,45,Male,French,Culturel/Histoire,Temperate,City,Airbnb,4x4;Marche;Voiture (si isolé),Europe
U0061,Tolu,33,Female,Nigerian,Aventure/Nature,Temperate,Adventure/Nature,Guesthouse,Taxi;Bateau;Scooter,Africa
U0062,Francesco,33,Male,Italian,Plage/Détente,Hot,Beach,Airbnb,Voiture (si isolé);Marche;Taxi,Europe
U0063,William,50,Male,Australian,Culturel/Histoire,Temperate,City,Hotel,Bus;Tuk-Tuk;Voiture (si isolé),Oceania
U0064,Lily,44,Female,Australian,Exotique/Budget,Hot,Cultural/Nature,Guesthouse,Scooter;Tuk-Tuk;Voiture (si isolé),Oceania
U0065,Emily,56,Female,American,Froid/Ski/Nordique,Cold,Adventure/Nature,Guesthouse,Voiture;Marche;Métro,North America
U0066,Alex,49,Male,American,Culturel/Histoire,Temperate,City,Hostel,Bateau;Marche;Tuk-Tuk,North America
U0067,Yulia,57,Female,Russian,Culturel/Histoire,Temperate,City,Hotel,Vélo;Randonnée;Taxi,Europe
U0068,Ksenia,32,Female,Russian,Exotique/Budget,Hot,Cultural/Nature,Guesthouse,Scooter;Randonnée;Marche,Europe
U0069,Simon,43,Male,French,Froid/Ski/Nordique,Cold,Adventure/Nature,Villa,Voiture;Scooter;Randonnée,Europe
U0070,Deepa,34,Female,Indian,Urbain/Luxe/Shopping,Temperate,City,Guesthouse,Métro;Scooter;Voiture,Asia
U0071,Daniela,61,Female,Colombian,Plage/Détente,Hot,Beach,Hostel,Randonnée;Voiture;Tuk-Tuk,South America
U0072,Ji-Min,59,Female,South Korean,Urbain/Luxe/Shopping,Temperate,City,Villa,Taxi;Randonnée;Vélo,Asia
U0073,Bảo,54,Male,Vietnamese,Aventure/Nature,Temperate,Adventure/Nature,Hotel,Randonnée;4x4;Marche,Asia
U0074,Isabella,40,Female,Brazilian,Froid/Ski/Nordique,Cold,Adventure/Nature,Hotel,4x4;Taxi;Bus,South America
U0075,Klaus,34,Male,German,Culturel/Histoire,Temperate,City,Hostel,Voiture (si isolé);Bateau;Voiture,Europe
U0076,William,52,Male,Swedish,Culturel/Histoire,Temperate,City,Hostel,Voiture;Bateau;4x4,Europe
U0077,Sofia,61,Female,Italian,Froid/Ski/Nordique,Cold,Adventure/Nature,Hotel,Marche;Randonnée;Métro,Europe
U0078,Alexander,47,Male,Canadian,Aventure/Nature,Temperate,Adventure/Nature,Villa,Voiture (si isolé);Voiture;Marche,North America
U0079,Isabella,50,Female,Brazilian,Exotique/Budget,Hot,Cultural/Nature,Guesthouse,Métro;Transports Publics;Bus,South America
U0080,Sergio,47,Male,Spanish,Plage/Détente,Hot,Beach,Airbnb,Transports Publics;Bus;Taxi,Europe
U0081,Abdullah,48,Male,Saudi,Aventure/Nature,Temperate,Adventure/Nature,Airbnb,Scooter;4x4;Bus,Asia
U0082,Gabriel,26,Male,Colombian,Froid/Ski/Nordique,Cold,Adventure/Nature,Hostel,Tuk-Tuk;Vélo;Scooter,South America
U0083,Ebba,69,Female,Swedish,Urbain/Luxe/Shopping,Temperate,City,Hotel,Tuk-Tuk;Transports Publics;Métro,Europe
U0084,Turki,54,Male,Saudi,Exotique/Budget,Hot,Cultural/Nature,Hotel,Taxi;Vélo;Scooter,Asia
U0085,Charlotte,46,Female,Australian,Aventure/Nature,Temperate,Adventure/Nature,Villa,Bus;Métro;Transports Publics,Oceania
U0086,Manuela,44,Female,Brazilian,Culturel/Histoire,Temperate,City,Villa,Randonnée;Transports Publics;Marche,South America
U0087,Yulia,24,Female,Russian,Exotique/Budget,Hot,Cultural/Nature,Airbnb,Voiture;Transports Publics;Randonnée,Europe
U0088,Martina,41,Female,Italian,Urbain/Luxe/Shopping,Temperate,City,Guesthouse,Bateau;Bus;Voiture,Europe
U0089,Mariana,58,Female,Colombian,Culturel/Histoire,Temperate,City,Hostel,Métro;Transports Publics;Bus,South America
U0090,Emma,34,Female,French,Froid/Ski/Nordique,Cold,Adventure/Nature,Villa,Marche;Vélo;Voiture (si isolé),Europe
U0091,Leonardo,35,Male,Italian,Urbain/Luxe/Shopping,Temperate,City,Guesthouse,Marche;Scooter;Taxi,Europe
U0092,Juan,53,Male,Mexican,Froid/Ski/Nordique,Cold,Adventure/Nature,Hotel,Bateau;Transports Publics;Bus,North America
U0093,Hiroshi,25,Male,Japanese,Exotique/Budget,Hot,Cultural/Nature,Hostel,Voiture;Scooter;Vélo,Asia
U0094,Liam,58,Male,Australian,Culturel/Histoire,Temperate,City,Hotel,Voiture (si isolé);Marche;4x4,Oceania
U0095,Mia,59,Female,Canadian,Exotique/Budget,Hot,Cultural/Nature,Hotel,Randonnée;Transports Publics;4x4,North America
U0096,Aisha,55,Female,Nigerian,Urbain/Luxe/Shopping,Temperate,City,Guesthouse,4x4;Scooter;Marche,Africa
U0097,Ji-Woo,42,Female,South Korean,Aventure/Nature,Temperate,Adventure/Nature,Hostel,Scooter;Taxi;Bateau,Asia
U0098,Tunde,41,Male,Nigerian,Urbain/Luxe/Shopping,Temperate,City,Hotel,Scooter;Taxi;Voiture (si isolé),Africa
U0099,Quỳnh,61,Female,Vietnamese,Froid/Ski/Nordique,Cold,Adventure/Nature,Hotel,Bus;4x4;Scooter,Asia
U0100,Henry,48,Male,Australian,Exotique/Budget,Hot,Cultural/Nature,Hotel,4x4;Marche;Voiture (si isolé),Oceania
U0101,Noah,39,Male,Australian,Froid/Ski/Nordique,Cold,Adventure/Nature,Villa,4x4;Bateau;Transports Publics,Oceania
U0102,Andrea,52,Male,Italian,Exotique/Budget,Hot,Cultural/Nature,Hotel,Bus;Tuk-Tuk;Métro,Europe
U0103,Luciana,51,Female,Colombian,Froid/Ski/Nordique,Cold,Adventure/Nature,Hostel,Randonnée;Scooter;Tuk-Tuk,South America
U0104,Greta,40,Female,German,Plage/Détente,Hot,Beach,Airbnb,Voiture (si isolé);Taxi;Randonnée,Europe
U0105,Elena,57,Female,Russian,Aventure/Nature,Temperate,Adventure/Nature,Hostel,Métro;Marche;Bateau,Europe
U0106,Elias,41,Male,German,Urbain/Luxe/Shopping,Temperate,City,Villa,Bus;Voiture;Randonnée,Europe
U0107,Emeka,22,Male,Nigerian,Froid/Ski/Nordique,Cold,Adventure/Nature,Hotel,Transports Publics;4x4;Bus,Africa
U0108,Alejandro,40,Male,Colombian,Culturel/Histoire,Temperate,City,Guesthouse,Tuk-Tuk;Voiture (si isolé);Taxi,South America
U0109,Akira,42,Male,Japanese,Froid/Ski/Nordique,Cold,Adventure/Nature,Hotel,Voiture;Randonnée;4x4,Asia
U0110,Simon,57,Male,French,Exotique/Budget,Hot,Cultural/Nature,Airbnb,Transports Publics;Randonnée;4x4,Europe
U0111,Tunde,61,Male,Nigerian,Aventure/Nature,Temperate,Adventure/Nature,Guesthouse,Voiture (si isolé);4x4;Marche,Africa
U0112,Emma,36,Female,Italian,Urbain/Luxe/Shopping,Temperate,City,Hostel,4x4;Randonnée;Tuk-Tuk,Europe
U0113,Ike,49,Male,Nigerian,Aventure/Nature,Temperate,Adventure/Nature,Airbnb,Transports Publics;4x4;Tuk-Tuk,Africa
U0114,Luis,61,Male,Mexican,Plage/Détente,Hot,Beach,Villa,Voiture (si isolé);Scooter;Transports Publics,North America
U0115,Evelyn,45,Female,American,Aventure/Nature,Temperate,Adventure/Nature,Airbnb,Voiture (si isolé);Bus;Transports Publics,North America
U0116,Thomas,25,Male,French,Froid/Ski/Nordique,Cold,Adventure/Nature,Airbnb,Bus;Métro;4x4,Europe
U0117,Nawaf,28,Male,Saudi,Froid/Ski/Nordique,Cold,Adventure/Nature,Airbnb,Scooter;Transports Publics;Vélo,Asia
U0118,Andrea,42,Male,Italian,Urbain/Luxe/Shopping,Temperate,City,Hostel,Transports Publics;Bateau;Scooter,Europe
U0119,Ethan,55,Male,Canadian,Culturel/Histoire,Temperate,City,Guesthouse,4x4;Transports Publics;Voiture (si isolé),North America
U0120,Olivia,53,Female,Canadian,Culturel/Histoire,Temperate,City,Airbnb,Bateau;Vélo;Voiture,North America
U0121,Juan,33,Male,Colombian,Culturel/Histoire,Temperate,City,Guesthouse,Transports Publics;Taxi;Tuk-Tuk,South America
U0122,Vy,58,Female,Vietnamese,Culturel/Histoire,Temperate,City,Airbnb,Vélo;Bateau;Transports Publics,Asia
